No.,등록번호,참조번호,품명(사업명),수요기관,사전규격공개일시,업체등록의견수,키워드
1,1390191,연구개발관리센터-78,원자력안전R&D 연구개발정보 IRIS 데이터 이관,한국원자력안전재단,2024/01/17 15:52,0,데이터
2,1389238,산림빅데이터팀-158,2024년 산림공공데이터 개발 활성화 및 역량강화 사업,산림청,2024/01/16 10:01,0,데이터
3,1389190,운영지원과-209,[학술] 임신성 당뇨병 환자의 예후 추적 연구 기반 마이크로바이옴 변화 데이터 구축,질병관리청 국립보건연구원,2024/01/16 09:26,0,데이터
4,1389181,운영지원과-209,[학술] 코호트 기반 건강노화 연구를 위한 한국인 장내 마이크로바이옴 데이터 구축,질병관리청 국립보건연구원,2024/01/16 09:21,0,데이터
5,1389175,운영지원과-209,[학술] 빅데이터 활용 및 통합을 위한 표준화 프로토콜 개발,질병관리청 국립보건연구원,2024/01/16 09:17,0,데이터
6,1389167,운영지원과-209,[학술] 질병관리청 조사자료 기반 대기오염에 의한 건강 영향 평가를 위한 대기오염 데이터 생산 및 연계자료 구축,질병관리청 국립보건연구원,2024/01/16 09:14,0,데이터
7,1389162,운영지원과-209,[학술] 국가검진자료-대기노출량 연계 빅데이터를 활용한 질병 발생영향 분석 및 연구용 Data 공개,질병관리청 국립보건연구원,2024/01/16 09:10,0,데이터
1,1390988,PS2024LCG01480,[24-육-9] AI정신전력 eBooK 제작,국방부 육군본부,2024/01/18 19:12,0,AI
2,1390340,유초등교육과-1538,[긴급] 2024. 전주 늘봄학교 AI코스웨어 지원 위탁 운영 용역,전라북도교육청 전라북도전주교육지원청,2024/01/17 17:43,0,AI
3,1390321,서울AI허브공고 제2024-0118호,"2024년도 서울시 서울AI허브 시설,미화 및 경비 용역",서울대학교 연구소 AI연구원,2024/01/17 17:26,0,AI
1,1389147,운영지원과-209,[학술] 생물정보학 및 인공지능 활용한 신속 백신 개발 기반 구축,질병관리청 국립보건연구원,2024/01/16 09:01,0,인공지능
1,1389134,운영지원과-209,"[학술] 의료기관 항생제 사용량 분석 및 환류시스템(KONAS) 확대 운영, 평가 및 시스템 개선 방안 마련",질병관리청 국립보건연구원,2024/01/16 08:54,0,NAS
