업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240346982-00,일반,"임계열속 DB 구축, AI 모델 선정 및 정확도 평가",한국원자력연구원,한국원자력연구원,제한(총액)규격가격동시,2024/03/28 10:53,(2024/04/05 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240346982&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240346840-01,취소,"임계열속 DB 구축, AI 모델 선정 및 정확도 평가",한국원자력연구원,한국원자력연구원,제한(총액)규격가격동시,2024/03/28 10:48,(2024/04/05 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240346840&bidseq=01&releaseYn=Y&taskClCd=5,AI
용역,E042400097-00,일반,생성형 AI 구축 및 학습 용역 감리,한국남부발전주식회사,계약자재부,제한(총액),2024/03/28 10:19,(2024/05/09 16:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240353564&bidseq=00,AI
용역,2024LDF000712214-01,일반,24년 AI 전문교육장 교육훈련장비 유지보수,육군통신학교,육군정보통신학교,수의(총액),2024/03/28 09:00,(2024/04/03 10:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240354364&bidseq=01,AI
용역,20240345008-00,긴급,제2차 인공지능의 책임 있는 군사적 이용(REAIM)에 관한 고위급회의 종합홍보 용역,조달청 서울지방조달청,외교부,일반(총액)협상에의한계약,2024/03/27 14:18,(2024/04/16 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240345008&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,E012402847-00,일반,의암간452-461 수목접촉개소 AITC 설치공사 감리용역,한국전력공사,재무자재부,제한(총액),2024/03/27 13:52,(2024/04/04 10:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240352429&bidseq=00,AI
용역,20240345177-00,일반,[입찰재공고]SW중심대학 AI융합역량인증제 운영 업체선정,상명대학교,상명대학교,제한(총액)협상에의한계약,2024/03/27 12:02,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240345177&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,E112400020-00,일반,AI기반 최적화를 이용한 AC-OPF 기술 개발 연구용역,한국전력거래소,재무경영팀,제한(총액),2024/03/27 09:47,(2024/04/09 10:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240350842&bidseq=00,AI
용역,20240326031-01,변경,"[정책,109] AI 활용 스마트 감염병 감시체계 시범 연구",질병관리청,질병관리청,제한(총액)협상에의한계약,2024/03/26 17:55,(2024/04/08 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240326031&bidseq=01&releaseYn=Y&taskClCd=5,AI
용역,20240343956-00,긴급,24-N-AI(인공지능) 면접체계 시범적용,국방부 국군재정관리단,국방부 국군재정관리단,일반(총액)협상에의한계약,2024/03/26 17:25,(2024/04/16 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240343956&bidseq=00&releaseYn=Y&taskClCd=5,AI
